,Neighborhood,OffenseType
866,Centennial,Aggravated Assault
867,Northwest,Vandalism
868,Montavilla,Intimidation
869,,Simple Assault
870,Goose Hollow,Simple Assault
871,Powellhurst-Gilbert,Kidnapping/Abduction
872,Powellhurst-Gilbert,Rape
873,Hazelwood,Intimidation
874,Hayden Island,Vandalism
875,Madison South,All Other Larceny
876,Madison South,Simple Assault
877,Rose City Park,Statutory Rape
878,Rose City Park,Pornography/Obscene Material
879,Northwest,Simple Assault
880,Centennial,Simple Assault
881,Powellhurst-Gilbert,Simple Assault
882,Powellhurst-Gilbert,All Other Larceny
883,Powellhurst-Gilbert,Vandalism
884,Hazelwood,Simple Assault
885,Cathedral Park,Aggravated Assault
886,,Aggravated Assault
887,Buckman West,Intimidation
888,Portsmouth,Kidnapping/Abduction
889,Lents,Motor Vehicle Theft
890,King,Simple Assault
891,Centennial,Simple Assault
892,Brentwood-Darlington,Simple Assault
893,Creston-Kenilworth,Aggravated Assault
894,Goose Hollow,Aggravated Assault
895,Goose Hollow,Simple Assault
896,South Tabor,Aggravated Assault
897,Centennial,Simple Assault
898,Madison South,Robbery
899,Lloyd,Simple Assault
900,Portsmouth,Simple Assault
901,Foster-Powell,Aggravated Assault
902,Foster-Powell,Vandalism
903,Arbor Lodge,Aggravated Assault
904,Old Town/Chinatown,Simple Assault
905,St Johns,Sodomy
906,St Johns,Pornography/Obscene Material
907,Powellhurst-Gilbert,Simple Assault
908,Powellhurst-Gilbert,Aggravated Assault
909,,Sodomy
910,Argay,Simple Assault
911,Arbor Lodge,Simple Assault
912,,Simple Assault
913,Mt Tabor,Intimidation
914,Rose City Park,Aggravated Assault
915,Wilkes,Aggravated Assault
916,Montavilla,Rape
917,St Johns,Robbery
918,East Columbia,Simple Assault
919,Hazelwood,Simple Assault
920,Hazelwood,Drug/Narcotic Violations
921,Lloyd,Simple Assault
922,Grant Park,Rape
923,Pearl,Simple Assault
924,Parkrose,Aggravated Assault
925,Glenfair,Simple Assault
926,Kenton,Simple Assault
927,Madison South,Aggravated Assault
928,Madison South,Weapons Law Violations
929,Montavilla,Aggravated Assault
930,Centennial,Simple Assault
931,Homestead,Aggravated Assault
932,South Portland,False Pretenses/Swindle/Confidence Game
933,Roseway,Aggravated Assault
934,Powellhurst-Gilbert,Simple Assault
935,Reed,Simple Assault
936,Downtown,Simple Assault
937,Lents,Vandalism
938,North Tabor,Aggravated Assault
939,North Tabor,Weapons Law Violations
940,Powellhurst-Gilbert,Simple Assault
941,Argay,Rape
942,Argay,Aggravated Assault
943,Argay,Aggravated Assault
944,Mt Scott-Arleta,Simple Assault
945,Kenton,Simple Assault
946,Ashcreek,Simple Assault
947,Russell,Simple Assault
948,Woodstock,Simple Assault
949,Cully,Aggravated Assault
950,University Park,Simple Assault
951,Foster-Powell,Simple Assault
952,Creston-Kenilworth,Simple Assault
953,Rose City Park,Simple Assault
954,Sullivan's Gulch,Simple Assault
955,St Johns,Fondling
956,East Columbia,Aggravated Assault
957,,Simple Assault
958,Madison South,Aggravated Assault
959,Madison South,Weapons Law Violations
960,Concordia,Intimidation
961,Madison South,Simple Assault
962,Rose City Park,Intimidation
963,Richmond,Aggravated Assault
964,Richmond,Kidnapping/Abduction
965,Kerns,Aggravated Assault
966,Cully,Sodomy
967,Cathedral Park,Rape
968,,Rape
969,Parkrose Heights,Aggravated Assault
970,Centennial,Aggravated Assault
971,Centennial,Vandalism
972,Cully,Simple Assault
973,Hazelwood,Rape
974,Downtown,Rape
975,Powellhurst-Gilbert,Burglary
976,Powellhurst-Gilbert,Vandalism
977,East Columbia,Vandalism
978,Parkrose,Simple Assault
979,Vernon,Simple Assault
980,Cully,Simple Assault
981,Buckman East,Intimidation
982,Kerns,Simple Assault
983,Argay,Simple Assault
984,Goose Hollow,Simple Assault
985,Lents,Simple Assault
986,North Tabor,Kidnapping/Abduction
987,North Tabor,Motor Vehicle Theft
988,Madison South,Simple Assault
989,Vernon,Aggravated Assault
990,Vernon,Theft From Building
991,Vernon,Vandalism
992,Hollywood,Murder and Non-negligent Manslaughter
993,South Portland,Robbery
994,Sumner,Aggravated Assault
995,Kenton,Simple Assault
996,Humboldt,Simple Assault
997,Montavilla,Aggravated Assault
998,Roseway,Rape
999,Piedmont,Simple Assault
1000,Cully,Simple Assault
1001,Wilkes,Simple Assault
1002,Rose City Park,Simple Assault
1003,Centennial,Simple Assault
1004,,Aggravated Assault
1005,Boise,Simple Assault
1006,Old Town/Chinatown,Aggravated Assault
1007,Powellhurst-Gilbert,Simple Assault
1008,Old Town/Chinatown,Aggravated Assault
1009,Downtown,Simple Assault
1010,Downtown,Simple Assault
1011,Cully,Intimidation
1012,Cully,Vandalism
1013,,Commercial Sex Acts
1014,,Assisting or Promoting Prostitution
1015,Old Town/Chinatown,Simple Assault
1016,Lents,Aggravated Assault
1017,Bridlemile,Simple Assault
1018,Goose Hollow,Simple Assault
1019,Downtown,Simple Assault
1020,Alameda,Simple Assault
1021,St Johns,Simple Assault
1022,Forest Park,Simple Assault
1023,Kenton,Simple Assault
1024,Pleasant Valley,Simple Assault
1025,Cully,Simple Assault
1026,Beaumont-Wilshire,Intimidation
1027,Powellhurst-Gilbert,Simple Assault
1028,,Aggravated Assault
1029,Arbor Lodge,Sodomy
1030,Hazelwood,Simple Assault
1031,Sellwood-Moreland,Simple Assault
1032,Sellwood-Moreland,Vandalism
1033,Cully,Vandalism
1034,King,Aggravated Assault
1035,Hazelwood,Simple Assault
1036,Madison South,Simple Assault
1037,Parkrose,Intimidation
1038,Kenton,Intimidation
1039,Mill Park,Simple Assault
1040,Montavilla,Simple Assault
1041,Madison South,Intimidation
1042,Cully,Aggravated Assault
1043,Hazelwood,Simple Assault
1044,Pleasant Valley,Fondling
1045,Hazelwood,Simple Assault
1046,Cully,Vandalism
1047,Northwest,Fondling
1048,Hazelwood,Theft From Motor Vehicle
1049,Hazelwood,Simple Assault
1050,Hazelwood,Vandalism
1051,Multnomah,Simple Assault
1052,Brentwood-Darlington,Simple Assault
1053,Brentwood-Darlington,Simple Assault
1054,Northwest,Simple Assault
1055,Hazelwood,Simple Assault
1056,Alameda,Kidnapping/Abduction
1057,Alameda,Rape
1058,Kenton,Kidnapping/Abduction
1059,Kenton,Rape
1060,Sumner,Simple Assault
1061,Buckman West,Murder and Non-negligent Manslaughter
1062,Buckman West,Weapons Law Violations
1063,,Theft From Motor Vehicle
1064,Piedmont,Intimidation
1065,Centennial,Intimidation
1066,Pearl,Intimidation
1067,Powellhurst-Gilbert,Motor Vehicle Theft
1068,Overlook,Aggravated Assault
1069,Pearl,Simple Assault
1070,Centennial,Simple Assault
1071,Lents,Simple Assault
1072,Parkrose,Aggravated Assault
1073,Lents,Simple Assault
1074,Lents,Weapons Law Violations
1075,Mill Park,Simple Assault
1076,Sellwood-Moreland,Aggravated Assault
1077,Cully,Simple Assault
1078,Creston-Kenilworth,Simple Assault
1079,Buckman East,Aggravated Assault
1080,Powellhurst-Gilbert,Fondling
1081,Maplewood,Rape
1082,Downtown,All Other Larceny
1083,Parkrose,Aggravated Assault
1084,Parkrose,Vandalism
1085,Buckman East,Simple Assault
1086,Centennial,Aggravated Assault
1087,Mill Park,Simple Assault
1088,Arbor Lodge,Simple Assault
1089,Powellhurst-Gilbert,Aggravated Assault
1090,Centennial,Simple Assault
1091,Centennial,Motor Vehicle Theft
1092,Mill Park,Aggravated Assault
1093,Multnomah,Simple Assault
1094,Centennial,Simple Assault
1095,Sellwood-Moreland,Simple Assault
1096,Argay,Simple Assault
1097,Madison South,Simple Assault
1098,Madison South,Vandalism
1099,Creston-Kenilworth,Simple Assault
1100,Humboldt,Simple Assault
1101,Lents,Aggravated Assault
1102,Lents,Vandalism
1103,Hazelwood,Rape
1104,Rose City Park,Simple Assault
1105,St Johns,Simple Assault
1106,Cully,Simple Assault
1107,Brentwood-Darlington,Simple Assault
1108,Hillsdale,Aggravated Assault
1109,Centennial,Simple Assault
1110,Centennial,Kidnapping/Abduction
1111,Powellhurst-Gilbert,Aggravated Assault
1112,St Johns,Simple Assault
1113,Buckman West,Simple Assault
1114,Rose City Park,Simple Assault
1115,South Tabor,Simple Assault
1116,Arbor Lodge,Simple Assault
1117,Markham,Simple Assault
1118,Brentwood-Darlington,Simple Assault
1119,Creston-Kenilworth,Simple Assault
1120,Hollywood,Simple Assault
1121,Sumner,Simple Assault
1122,,Rape
1123,Lents,Rape
1124,North Tabor,Rape
1125,North Tabor,Extortion/Blackmail
1126,,Rape
1127,Cully,Rape
1128,Mt Tabor,Sodomy
1129,Wilkes,Simple Assault
1130,Powellhurst-Gilbert,Aggravated Assault
1131,Centennial,Aggravated Assault
1132,Centennial,Vandalism
1133,Centennial,Weapons Law Violations
1134,Hillsdale,Simple Assault
1135,Brentwood-Darlington,Simple Assault
1136,Portsmouth,Aggravated Assault
1137,Downtown,Aggravated Assault
1138,King,Simple Assault
1139,,Aggravated Assault
1140,Powellhurst-Gilbert,Vandalism
1141,Parkrose,Simple Assault
1142,Eliot,Aggravated Assault
1143,Madison South,Theft From Motor Vehicle
1144,Lents,Aggravated Assault
1145,Northwest,Simple Assault
1146,Downtown,Statutory Rape
1147,Hollywood,Simple Assault
1148,Downtown,Simple Assault
1149,Northwest,Simple Assault
1150,Mill Park,Aggravated Assault
1151,Hazelwood,Aggravated Assault
1152,Roseway,Murder and Non-negligent Manslaughter
1153,Lents,Kidnapping/Abduction
1154,St Johns,Aggravated Assault
1155,St Johns,Vandalism
1156,,Rape
1157,Brentwood-Darlington,Rape
1158,Multnomah,Simple Assault
1159,Richmond,Simple Assault
1160,Powellhurst-Gilbert,Aggravated Assault
1161,Eastmoreland,Simple Assault
1162,Goose Hollow,Simple Assault
1163,Pleasant Valley,Burglary
1164,Portsmouth,Fondling
1165,Downtown,Simple Assault
1166,Downtown,Simple Assault
1167,Powellhurst-Gilbert,Simple Assault
1168,Lents,Aggravated Assault
1169,Argay,Simple Assault
1170,Powellhurst-Gilbert,Aggravated Assault
1171,Montavilla,Aggravated Assault
1172,Overlook,Rape
1173,Hazelwood,Simple Assault
1174,Hazelwood,Burglary
1175,Hazelwood,Simple Assault
1176,Hazelwood,Vandalism
1177,Lloyd,Simple Assault
1178,Cully,Aggravated Assault
1179,,Rape
1180,Powellhurst-Gilbert,Aggravated Assault
1181,Hazelwood,Simple Assault
1182,Kenton,Aggravated Assault
1183,Downtown,Commercial Sex Acts
1184,Downtown,Assisting or Promoting Prostitution
1185,Sellwood-Moreland,Simple Assault
1186,Sellwood-Moreland,Simple Assault
1187,Sellwood-Moreland,Simple Assault
1188,Lloyd,Aggravated Assault
1189,Lents,Simple Assault
1190,Centennial,Simple Assault
1191,Argay,Sodomy
1192,,Aggravated Assault
1193,Centennial,Simple Assault
1194,Concordia,Simple Assault
1195,Hazelwood,Simple Assault
1196,Downtown,Simple Assault
1197,Powellhurst-Gilbert,Aggravated Assault
1198,Mill Park,Aggravated Assault
1199,Piedmont,Aggravated Assault
1200,Centennial,Aggravated Assault
1201,Montavilla,Vandalism
1202,,Fondling
1203,Cathedral Park,Simple Assault
1204,Downtown,Simple Assault
1205,Hazelwood,Intimidation
1206,Hazelwood,Simple Assault
1207,Hazelwood,Aggravated Assault
1208,Centennial,Statutory Rape
1209,Centennial,Pornography/Obscene Material
1210,Mt Scott-Arleta,Fondling
1211,Centennial,Aggravated Assault
1212,Montavilla,Simple Assault
1213,Glenfair,Aggravated Assault
1214,Concordia,Aggravated Assault
1215,South Tabor,Aggravated Assault
1216,Overlook,Aggravated Assault
1217,Arbor Lodge,Fondling
1218,Powellhurst-Gilbert,Simple Assault
1219,Hayden Island,Aggravated Assault
1220,Creston-Kenilworth,Simple Assault
1221,Arbor Lodge,Aggravated Assault
1222,West Portland Park,Simple Assault
1223,Pearl,Simple Assault
1224,Centennial,Simple Assault
1225,Arbor Lodge,Simple Assault
1226,Roseway,Simple Assault
1227,Brentwood-Darlington,Simple Assault
1228,Hazelwood,Simple Assault
1229,Downtown,Aggravated Assault
1230,Glenfair,Aggravated Assault
1231,Glenfair,Theft From Building
1232,Sunderland,Simple Assault
1233,Humboldt,Motor Vehicle Theft
1234,South Portland,Vandalism
1235,Brentwood-Darlington,Simple Assault
1236,,Aggravated Assault
1237,Creston-Kenilworth,Intimidation
1238,Mt Scott-Arleta,Intimidation
1239,Madison South,Simple Assault
1240,Hazelwood,Simple Assault
1241,Lents,Simple Assault
1242,Centennial,Simple Assault
1243,Downtown,Murder and Non-negligent Manslaughter
1244,Downtown,Weapons Law Violations
1245,Argay,Simple Assault
1246,South Tabor,Aggravated Assault
1247,Eliot,Simple Assault
1248,,Aggravated Assault
1249,Centennial,Simple Assault
1250,Old Town/Chinatown,Simple Assault
1251,Wilkes,Simple Assault
1252,Downtown,Rape
1253,Downtown,Commercial Sex Acts
1254,Goose Hollow,Intimidation
1255,Lents,Rape
1256,Mill Park,Aggravated Assault
1257,Madison South,Simple Assault
1258,Hazelwood,Vandalism
1259,Northwest,Simple Assault
1260,Alameda,Extortion/Blackmail
1261,Old Town/Chinatown,Aggravated Assault
1262,Cully,Kidnapping/Abduction
1263,St Johns,Aggravated Assault
1264,Woodlawn,Motor Vehicle Theft
1265,King,Motor Vehicle Theft
1266,Centennial,Simple Assault
1267,Parkrose,Pornography/Obscene Material
1268,Powellhurst-Gilbert,Rape
1269,Boise,Sexual Assault With An Object
1270,Northwest,Rape
1271,Lents,Theft From Motor Vehicle
1272,Hosford-Abernethy,Simple Assault
1273,Creston-Kenilworth,Simple Assault
1274,Mt Tabor,Vandalism
1275,Centennial,Simple Assault
1276,Centennial,Simple Assault
1277,Centennial,All Other Larceny
1278,Sellwood-Moreland,Simple Assault
1279,Old Town/Chinatown,Murder and Non-negligent Manslaughter
1280,Madison South,Murder and Non-negligent Manslaughter
1281,Old Town/Chinatown,Aggravated Assault
1282,,Aggravated Assault
1283,Centennial,Vandalism
1284,Old Town/Chinatown,Murder and Non-negligent Manslaughter
1285,Old Town/Chinatown,Weapons Law Violations
1286,North Tabor,Simple Assault
1287,Cully,Simple Assault
1288,Downtown,Simple Assault
1289,,Rape
1290,Mill Park,Simple Assault
1291,East Columbia,Purse-Snatching
1292,Downtown,Rape
1293,Downtown,Sodomy
1294,Montavilla,Simple Assault
1295,,Sodomy
1296,Cully,Simple Assault
1297,Hazelwood,Simple Assault
1298,St Johns,Simple Assault
1299,South Tabor,Simple Assault
1300,Boise,Rape
1301,Centennial,Burglary
1302,Lloyd,Simple Assault
1303,Foster-Powell,Simple Assault
1304,Mill Park,Aggravated Assault
1305,Downtown,Theft From Motor Vehicle
1306,Montavilla,Aggravated Assault
1307,Montavilla,Simple Assault
1308,Hillsdale,Aggravated Assault
1309,Hillsdale,Simple Assault
1310,Glenfair,Simple Assault
1311,Parkrose,Aggravated Assault
1312,Kenton,Simple Assault
1313,Kenton,Vandalism
1314,Vernon,Simple Assault
1315,Arbor Lodge,Simple Assault
1316,West Portland Park,Theft From Motor Vehicle
1317,Downtown,Simple Assault
1318,Hazelwood,Aggravated Assault
1319,Hazelwood,Simple Assault
1320,Hazelwood,Vandalism
1321,Rose City Park,Simple Assault
1322,Sellwood-Moreland,Simple Assault
1323,Lloyd,Credit Card/ATM Fraud
1324,,All Other Larceny
1325,Montavilla,Vandalism
1326,Powellhurst-Gilbert,Simple Assault
1327,Grant Park,Simple Assault
1328,St Johns,Simple Assault
1329,Hillsdale,Intimidation
1330,Madison South,Simple Assault
1331,Kerns,Fondling
1332,Madison South,Theft of Motor Vehicle Parts or Accessories
1333,Hillsdale,Simple Assault
1334,,Rape
1335,Montavilla,Intimidation
1336,Old Town/Chinatown,Simple Assault
1337,Concordia,Intimidation
1338,Mill Park,Simple Assault
1339,Hazelwood,Commercial Sex Acts
1340,Hazelwood,Rape
1341,Downtown,Theft From Motor Vehicle
1342,Downtown,Sexual Assault With An Object
1343,Downtown,Aggravated Assault
1344,Downtown,Murder and Non-negligent Manslaughter
1345,Downtown,Kidnapping/Abduction
1346,Downtown,Weapons Law Violations
1347,,Theft From Motor Vehicle
1348,Portsmouth,Aggravated Assault
1349,Cully,Aggravated Assault
1350,Montavilla,Simple Assault
1351,Madison South,Simple Assault
1352,Pearl,Simple Assault
1353,Powellhurst-Gilbert,Simple Assault
1354,Buckman West,Aggravated Assault
1355,Humboldt,Aggravated Assault
1356,Boise,Simple Assault
1357,Lloyd,Credit Card/ATM Fraud
1358,Lents,Robbery
1359,Old Town/Chinatown,Sodomy
1360,Old Town/Chinatown,Robbery
1361,Downtown,Sodomy
1362,,Simple Assault
1363,Eliot,Murder and Non-negligent Manslaughter
1364,Humboldt,Aggravated Assault
1365,Sellwood-Moreland,Rape
1366,,Credit Card/ATM Fraud
1367,Mill Park,Simple Assault
1368,Cully,Aggravated Assault
1369,Lloyd,Aggravated Assault
1370,Mill Park,Vandalism
1371,Kerns,Simple Assault
1372,Sumner,Aggravated Assault
1373,King,Simple Assault
1374,North Tabor,Simple Assault
1375,St Johns,Aggravated Assault
1376,Lloyd,Rape
1377,Lloyd,Sodomy
1378,Wilkes,Motor Vehicle Theft
1379,Overlook,Aggravated Assault
1380,Sunnyside,Simple Assault
1381,Pleasant Valley,Aggravated Assault
1382,Pleasant Valley,Weapons Law Violations
1383,Arbor Lodge,Simple Assault
1384,Hazelwood,Intimidation
1385,Hazelwood,Simple Assault
1386,Pleasant Valley,Theft From Motor Vehicle
1387,Eliot,Robbery
1388,Lents,Simple Assault
1389,Sunnyside,Simple Assault
1390,Argay,Aggravated Assault
1391,Portsmouth,Simple Assault
1392,Centennial,Simple Assault
1393,Lents,Theft From Building
1394,Hazelwood,Aggravated Assault
1395,Old Town/Chinatown,Simple Assault
1396,North Tabor,Simple Assault
1397,Argay,Fondling
1398,Lents,Statutory Rape
1399,Hayhurst,Simple Assault
1400,Downtown,Vandalism
1401,Buckman East,Theft From Motor Vehicle
1402,Mt Scott-Arleta,Simple Assault
1403,,Simple Assault
1404,Pearl,Theft From Motor Vehicle
1405,Lents,Simple Assault
1406,Lents,Simple Assault
1407,Powellhurst-Gilbert,Simple Assault
1408,Laurelhurst,Motor Vehicle Theft
1409,Piedmont,Simple Assault
1410,Downtown,Simple Assault
1411,Kerns,Simple Assault
1412,Mill Park,Rape
1413,Mill Park,Sexual Assault With An Object
1414,Mill Park,Sodomy
1415,,Theft From Motor Vehicle
1416,Wilkes,Aggravated Assault
1417,Wilkes,Aggravated Assault
1418,Portsmouth,Aggravated Assault
1419,Portsmouth,Fondling
1420,Portsmouth,Animal Cruelty
1421,Lents,Sexual Assault With An Object
1422,Pleasant Valley,Aggravated Assault
1423,Cully,Identity Theft
1424,Cully,Simple Assault
1425,Mill Park,Aggravated Assault
1426,Mill Park,Simple Assault
1427,Montavilla,Simple Assault
1428,Hayden Island,Simple Assault
1429,Overlook,Aggravated Assault
1430,Downtown,Simple Assault
1431,Centennial,Aggravated Assault
1432,Centennial,Murder and Non-negligent Manslaughter
1433,Kenton,Pornography/Obscene Material
1434,Centennial,Rape
1435,Lents,Simple Assault
1436,Downtown,Aggravated Assault
1437,Powellhurst-Gilbert,Simple Assault
1438,Buckman West,Simple Assault
1439,Eliot,Simple Assault
1440,Downtown,Simple Assault
1441,Humboldt,Rape
1442,Hazelwood,Vandalism
1443,Parkrose,Kidnapping/Abduction
1444,Parkrose,Rape
1445,Parkrose,Sodomy
1446,Parkrose,Purse-Snatching
1447,Powellhurst-Gilbert,Robbery
1448,Portsmouth,Vandalism
1449,Vernon,Simple Assault
1450,Hazelwood,Vandalism
1451,Centennial,Simple Assault
1452,Eastmoreland,Robbery
1453,Maplewood,Rape
1454,Mill Park,Burglary
1455,Powellhurst-Gilbert,Intimidation
1456,Pleasant Valley,Intimidation
1457,Foster-Powell,Simple Assault
1458,Northwest,Simple Assault
1459,Sumner,Simple Assault
1460,Hazelwood,Aggravated Assault
1461,Centennial,Aggravated Assault
1462,,Fondling
1463,Hazelwood,Vandalism
